CO_CURSO,TP_GRAU_ACADEMICO,TP_SITUACAO,IN_DEFICIENCIA,IN_RESERVA_VAGAS,TP_SEXO,TP_COR_RACA,NU_ANO_NASCIMENTO,NU_DIA_NASCIMENTO,NU_MES_NASCIMENTO,NU_IDADE,NU_ANO_INGRESSO,NU_ANO_CENSO,CO_MUNICIPIO_NASCIMENTO,Id
107474,1,2,0,0,1,6,1986,9,5,23,2007,2009,null,2732
96981,3,2,0,0,0,6,1980,24,12,29,2007,2009,null,2736
107474,1,2,0,0,1,6,1983,9,12,26,2007,2009,null,2737
107474,1,2,0,0,1,6,1988,14,9,21,2007,2009,null,2738
107474,1,2,0,0,0,6,1989,9,12,20,2007,2009,null,2739
96981,3,2,0,0,0,6,1982,7,10,27,2007,2009,null,2740
96981,3,2,0,0,1,6,1984,9,12,25,2007,2009,null,2742
96981,3,3,0,0,1,6,1989,19,2,20,2007,2009,null,2743
96981,3,2,0,0,0,6,1986,23,8,23,2007,2009,null,2744
96981,3,2,0,0,1,6,1987,24,10,22,2007,2009,null,2745
96981,3,2,0,0,0,6,1984,13,12,25,2007,2009,null,3399
96981,3,2,0,0,0,6,1989,23,7,20,2007,2009,null,2752
96981,3,2,0,0,1,6,1986,8,4,23,2007,2009,null,2755
112692,2,2,0,0,0,6,1989,30,7,20,2008,2009,null,2795
96981,3,2,0,0,1,6,1989,30,1,20,2007,2009,null,2838
96981,3,4,0,0,0,6,1986,6,12,23,2007,2009,null,2454
96981,3,2,0,0,0,6,1989,27,4,20,2007,2009,null,2839
96981,3,2,0,0,0,6,1987,30,5,22,2007,2009,null,2840
96981,3,2,0,0,0,6,1981,29,12,28,2007,2009,null,2842
96981,3,4,0,0,0,6,1989,28,1,20,2007,2009,null,2843
96981,3,2,0,0,0,6,1989,4,4,20,2007,2009,null,2844
96981,3,2,0,0,1,6,1989,3,5,20,2007,2009,null,2845
96981,3,2,0,0,1,6,1989,31,3,20,2007,2009,null,2846
96981,3,2,0,0,0,6,1986,19,5,23,2007,2009,null,2847
112692,2,2,0,0,0,6,1987,4,5,22,2008,2009,null,3400
112692,2,4,0,0,1,6,1988,21,1,21,2008,2009,null,2849
112692,2,2,0,0,1,6,1982,11,7,27,2008,2009,null,2850
107474,1,4,0,0,0,6,1984,11,5,25,2008,2009,null,2851
112692,2,2,0,0,0,6,1984,21,10,25,2008,2009,null,2852
96981,3,2,0,0,0,6,1987,24,10,22,2007,2009,null,2853
96981,3,2,0,0,0,6,1982,20,9,27,2007,2009,null,2858
112692,2,2,0,0,0,6,1964,6,2,45,2008,2009,null,2859
107474,1,2,0,0,0,6,1990,22,5,19,2008,2009,null,3401
107474,1,2,0,0,1,6,1989,20,8,20,2008,2009,null,3104
96981,3,2,0,0,0,6,1989,8,1,20,2007,2009,null,3105
112692,2,2,0,0,1,6,1988,24,7,21,2008,2009,null,3106
112692,2,2,0,0,0,6,1985,3,9,24,2008,2009,null,3107
112692,2,2,0,0,0,6,1987,10,12,22,2008,2009,null,3057
112692,2,3,0,0,1,6,1989,11,6,20,2008,2009,null,3108
99503,2,2,0,0,0,6,1984,30,6,25,2007,2009,null,3109
96981,3,2,0,0,1,6,1989,19,4,20,2007,2009,null,3110
107474,1,2,0,0,1,6,1985,1,5,24,2008,2009,null,3111
96981,3,4,0,0,1,6,1989,15,4,20,2007,2009,null,3112
112692,2,2,0,0,0,6,1956,2,11,53,2008,2009,null,3113
107474,1,2,0,0,1,6,1984,18,7,25,2008,2009,null,3114
107474,1,2,0,0,1,6,1991,4,5,18,2008,2009,null,3115
99503,2,2,0,0,0,6,1987,10,2,22,2007,2009,null,3116
112692,2,2,0,0,1,6,1973,29,6,36,2008,2009,null,3117
112692,2,4,0,0,1,6,1982,29,3,27,2008,2009,null,3118
112692,2,2,0,0,1,6,1989,29,4,20,2008,2009,null,3119
112692,2,2,0,0,1,6,1991,19,2,18,2008,2009,null,3120
112692,2,2,0,0,1,6,1980,14,12,29,2008,2009,null,3121
112692,2,2,0,0,1,6,1985,16,6,24,2008,2009,null,3122
112692,2,2,0,0,0,6,1984,12,10,25,2008,2009,null,3123
112692,2,2,0,0,0,6,1987,8,5,22,2008,2009,null,3124
112692,2,2,0,0,1,6,1983,28,5,26,2008,2009,null,3125
112692,2,2,0,0,1,6,1989,22,7,20,2008,2009,null,3126
96981,3,2,0,0,0,6,1985,29,9,24,2006,2009,null,3127
112692,2,2,0,0,1,6,1985,16,6,24,2008,2009,null,3128
99503,2,2,0,0,1,6,1982,19,8,27,2007,2009,null,3131
99503,2,2,0,0,1,6,1987,19,11,22,2007,2009,null,2337
99503,2,2,0,0,0,6,1965,5,6,44,2007,2009,null,3315
99503,2,2,0,0,0,6,1988,2,10,21,2007,2009,null,3402
99503,2,2,0,0,0,6,1978,7,1,31,2007,2009,null,3403
107474,1,2,0,0,0,6,1988,16,3,21,2008,2009,null,3404
112692,2,2,0,0,0,6,1988,5,12,21,2009,2009,null,3405
107474,1,2,0,0,1,6,1984,11,12,25,2008,2009,null,3406
107474,1,2,0,0,1,6,1981,17,12,28,2008,2009,null,3407
96981,3,2,0,0,0,6,1988,21,4,21,2008,2009,null,3408
107474,1,4,0,0,0,6,1956,11,10,53,2008,2009,null,3409
112692,2,2,0,0,0,6,1988,26,2,21,2009,2009,null,3410
96981,3,2,0,0,0,6,1987,16,3,22,2008,2009,null,3411
96981,3,2,0,0,1,6,1989,17,11,20,2008,2009,null,3412
99503,2,2,0,0,0,6,1987,25,1,22,2008,2009,null,3413
96981,3,2,0,0,0,6,1989,26,7,20,2008,2009,null,3414
107474,1,2,0,0,1,6,1983,22,7,26,2008,2009,null,3415
99503,2,2,0,0,1,6,1990,14,6,19,2008,2009,null,3416
107474,1,3,0,0,1,6,1987,28,11,22,2008,2009,null,3417
112692,2,2,0,0,1,6,1987,29,7,22,2009,2009,null,3418
112692,2,2,0,0,1,6,1982,3,12,27,2009,2009,null,2880
107474,1,2,0,0,1,6,1988,24,11,21,2008,2009,null,3419
107474,1,2,0,0,1,6,1989,3,10,20,2008,2009,null,3420
107474,1,2,0,0,0,6,1989,16,10,20,2008,2009,null,3421
112692,2,2,0,0,1,0,1978,21,6,31,2009,2009,null,3422
112692,2,2,0,0,0,6,1976,6,9,33,2009,2009,null,3423
96981,3,2,0,0,0,6,1973,3,7,36,2008,2009,null,3424
99503,2,2,0,0,1,6,1986,9,10,23,2008,2009,null,3425
107474,1,4,0,0,0,6,1988,5,10,21,2008,2009,null,3426
96981,3,2,0,0,0,6,1989,29,4,20,2007,2009,null,3427
96981,3,2,0,0,0,6,1989,17,12,20,2008,2009,null,3428
107474,1,2,0,0,0,6,1979,9,12,30,2008,2009,null,3429
96981,3,2,0,0,0,6,1989,2,2,20,2007,2009,null,3430
99503,2,2,0,0,0,6,1989,21,11,20,2008,2009,null,3431
96981,3,2,0,0,0,6,1990,6,3,19,2008,2009,null,3432
107474,1,2,0,0,1,6,1989,11,11,20,2008,2009,null,3433
