CO_CURSO,TP_GRAU_ACADEMICO,TP_SITUACAO,IN_DEFICIENCIA,IN_RESERVA_VAGAS,TP_SEXO,TP_COR_RACA,NU_ANO_NASCIMENTO,NU_DIA_NASCIMENTO,NU_MES_NASCIMENTO,NU_IDADE,NU_ANO_INGRESSO,NU_ANO_CENSO,CO_MUNICIPIO_NASCIMENTO
107474,1,2,0,0,1,6,1983,17,10,26,2008,2009,null
107474,1,2,0,0,1,6,1989,15,1,20,2008,2009,null
96981,3,2,0,0,0,6,1988,11,5,21,2007,2009,null
99503,2,2,0,0,0,6,1988,16,7,21,2007,2009,null
107474,1,2,0,0,1,6,1974,29,11,35,2008,2009,null
107474,1,2,0,0,1,6,1978,26,9,31,2008,2009,null
107474,1,2,0,0,1,6,1990,21,12,19,2008,2009,null
99503,2,2,0,0,1,6,1983,10,4,26,2007,2009,null
107474,1,2,0,0,1,6,1986,14,8,23,2008,2009,null
99503,2,2,0,0,1,6,1983,2,11,26,2007,2009,null
96981,3,2,0,0,0,6,1987,8,1,22,2007,2009,null
99503,2,2,0,0,0,6,1986,17,4,23,2007,2009,null
107474,1,2,0,0,1,6,1990,1,5,19,2008,2009,null
99503,2,2,0,0,0,6,1985,23,12,24,2007,2009,null
107474,1,2,0,0,0,6,1988,17,2,21,2008,2009,null
107474,1,2,0,0,1,6,1990,9,4,19,2008,2009,null
99503,2,2,0,0,0,6,1983,22,1,26,2007,2009,null
96981,3,2,0,0,1,6,1982,2,10,27,2007,2009,null
107474,1,2,0,0,0,6,1985,23,3,24,2008,2009,null
99503,2,2,0,0,0,6,1981,28,10,28,2007,2009,null
107474,1,3,0,0,1,6,1979,28,9,30,2008,2009,null
99503,2,2,0,0,1,6,1972,8,6,37,2007,2009,null
99503,2,2,0,0,0,6,1977,24,7,32,2007,2009,null
99503,2,2,0,0,1,6,1985,27,6,24,2007,2009,null
99503,2,2,0,0,0,6,1983,20,11,26,2007,2009,null
96981,3,2,0,0,0,6,1988,30,6,21,2007,2009,null
96981,3,2,0,0,0,6,1989,19,5,20,2007,2009,null
96981,3,2,0,0,0,6,1988,30,6,21,2007,2009,null
99503,2,3,0,0,1,6,1986,19,5,23,2007,2009,null
107474,1,2,0,0,1,6,1983,4,6,26,2008,2009,null
99503,2,3,0,0,0,6,1979,24,3,30,2007,2009,null
96981,3,2,0,0,1,6,1984,30,10,25,2007,2009,null
99503,2,2,0,0,1,6,1977,19,10,32,2008,2009,null
107474,1,2,0,0,1,6,1988,14,11,21,2007,2009,null
107474,1,2,0,0,1,6,1989,22,2,20,2007,2009,null
96981,3,2,0,0,1,6,1989,14,2,20,2007,2009,null
107474,1,2,0,0,0,6,1982,13,10,27,2007,2009,null
107474,1,2,0,0,1,6,1986,10,9,23,2007,2009,null
96981,3,4,0,0,0,6,1980,12,4,29,2007,2009,null
107474,1,2,0,0,0,6,1988,8,3,21,2007,2009,null
107474,1,2,0,0,0,6,1986,10,6,23,2007,2009,null
107474,1,2,0,0,1,6,1984,25,8,25,2007,2009,null
99503,2,2,0,0,0,6,1974,16,8,35,2007,2009,null
107474,1,2,0,0,0,6,1965,21,6,44,2007,2009,null
96981,3,4,0,0,1,6,1988,1,11,21,2007,2009,null
96981,3,4,0,0,1,6,1988,15,9,21,2008,2009,null
96981,3,2,0,0,0,6,1980,20,5,29,2006,2009,null
107474,1,2,0,0,0,6,1988,24,1,21,2007,2009,null
107474,1,2,0,0,1,6,1986,14,10,23,2007,2009,null
107474,1,2,0,0,1,6,1984,27,7,25,2007,2009,null
96981,3,4,0,0,0,6,1988,24,6,21,2007,2009,null
96981,3,4,0,0,1,0,1989,21,10,20,2008,2009,null
107474,1,2,0,0,0,0,1984,16,12,25,2007,2009,null
96981,3,4,0,0,1,6,1988,15,10,21,2008,2009,null
107474,1,2,0,0,1,6,1986,14,6,23,2007,2009,null
107474,1,2,0,0,1,6,1984,3,12,25,2007,2009,null
107474,1,2,0,0,1,6,1985,16,10,24,2007,2009,null
107474,1,2,0,0,1,6,1986,9,5,23,2007,2009,null
96981,3,2,0,0,0,6,1980,24,12,29,2007,2009,null
107474,1,2,0,0,1,6,1983,9,12,26,2007,2009,null
107474,1,2,0,0,1,6,1988,14,9,21,2007,2009,null
107474,1,2,0,0,0,6,1989,9,12,20,2007,2009,null
96981,3,2,0,0,0,6,1982,7,10,27,2007,2009,null
96981,3,2,0,0,1,6,1984,9,12,25,2007,2009,null
96981,3,3,0,0,1,6,1989,19,2,20,2007,2009,null
96981,3,2,0,0,0,6,1986,23,8,23,2007,2009,null
96981,3,2,0,0,1,6,1987,24,10,22,2007,2009,null
96981,3,2,0,0,0,6,1984,13,12,25,2007,2009,null
96981,3,2,0,0,0,6,1989,23,7,20,2007,2009,null
96981,3,2,0,0,1,6,1986,8,4,23,2007,2009,null
112692,2,2,0,0,0,6,1989,30,7,20,2008,2009,null
96981,3,2,0,0,1,6,1989,30,1,20,2007,2009,null
96981,3,4,0,0,0,6,1986,6,12,23,2007,2009,null
96981,3,2,0,0,0,6,1989,27,4,20,2007,2009,null
96981,3,2,0,0,0,6,1987,30,5,22,2007,2009,null
96981,3,2,0,0,0,6,1981,29,12,28,2007,2009,null
96981,3,4,0,0,0,6,1989,28,1,20,2007,2009,null
96981,3,2,0,0,0,6,1989,4,4,20,2007,2009,null
96981,3,2,0,0,1,6,1989,3,5,20,2007,2009,null
96981,3,2,0,0,1,6,1989,31,3,20,2007,2009,null
96981,3,2,0,0,0,6,1986,19,5,23,2007,2009,null
112692,2,2,0,0,0,6,1987,4,5,22,2008,2009,null
112692,2,4,0,0,1,6,1988,21,1,21,2008,2009,null
112692,2,2,0,0,1,6,1982,11,7,27,2008,2009,null
107474,1,4,0,0,0,6,1984,11,5,25,2008,2009,null
112692,2,2,0,0,0,6,1984,21,10,25,2008,2009,null
96981,3,2,0,0,0,6,1987,24,10,22,2007,2009,null
96981,3,2,0,0,0,6,1982,20,9,27,2007,2009,null
112692,2,2,0,0,0,6,1964,6,2,45,2008,2009,null
107474,1,2,0,0,0,6,1990,22,5,19,2008,2009,null
107474,1,2,0,0,1,6,1989,20,8,20,2008,2009,null
96981,3,2,0,0,0,6,1989,8,1,20,2007,2009,null
112692,2,2,0,0,1,6,1988,24,7,21,2008,2009,null
112692,2,2,0,0,0,6,1985,3,9,24,2008,2009,null
